Hotel,is_canceled,lead_time,Lead_Time_Group,arrival_date_year,arrival_date_month,Month_Number_Final,arrival_date_week_number,arrival_date_day_of_month,Total stay (Week + Weekend),total guests(child + adult + baby),Family Flag,country_name,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,days_in_waiting_list,adr in INR ,required_car_parking_spaces,total_of_special_requests,Revenue
Resort Hotel,0.00,203,180+,2016,12,12,49,2,7,2,Family,United Kingdom,Direct,Direct,0,0,0,4,No Deposit,0,6012,0,0,42084
City Hotel,0.00,1,0-30,2016,3,3,11,9,1,1,Family,Sweden,Online TA,TA/TO,0,0,0,0,No Deposit,0,8550,0,0,8550
City Hotel,1.00,21,0-30,2016,3,3,10,4,1,1,Family,Slovenia,Online TA,TA/TO,0,0,0,0,No Deposit,0,7650,0,0,7650
Resort Hotel,0.00,34,31-90,2016,12,12,50,9,1,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,4320,0,1,4320
City Hotel,1.00,38,31-90,2016,5,5,19,6,5,3,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,13471.2,0,0,67356
City Hotel,1.00,97,91-180,2015,10,10,41,5,4,1,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,12600,0,0,50400
City Hotel,1.00,175,91-180,2016,8,8,33,10,4,2,Family,United Kingdom,Online TA,TA/TO,0,0,0,0,No Deposit,0,8950.5,0,0,35802
City Hotel,1.00,360,180+,2015,10,10,42,12,2,2,Family,Portugal,Groups,TA/TO,0,1,0,0,Non Refund,0,5580,0,0,11160
Resort Hotel,1.00,378,180+,2016,11,11,45,1,2,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,4140,0,0,8280
City Hotel,1.00,179,91-180,2016,7,7,27,1,2,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,5850,0,0,11700
City Hotel,0.00,349,180+,2016,10,10,41,4,6,2,Family,Germany,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,162,11099.7,0,0,66598.2
City Hotel,0.00,158,91-180,2016,7,7,27,1,3,4,Family,Belgium,Online TA,TA/TO,0,0,0,0,No Deposit,0,15147,0,1,45441
Resort Hotel,0.00,154,91-180,2016,7,7,29,11,3,2,Family,Unknown,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,5832,0,0,17496
City Hotel,0.00,18,0-30,2016,12,12,51,11,1,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,7200,0,0,7200
City Hotel,1.00,21,0-30,2017,1,1,1,2,4,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,8109,0,2,32436
City Hotel,1.00,25,0-30,2015,12,12,50,8,2,1,Family,Portugal,Offline TA/TO,TA/TO,0,1,0,0,Non Refund,0,8100,0,0,16200
Resort Hotel,0.00,164,91-180,2015,11,11,46,9,7,2,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,5508,1,0,38556
City Hotel,1.00,157,91-180,2017,5,5,18,1,4,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,11700,0,0,46800
City Hotel,0.00,1,0-30,2017,5,5,19,9,1,1,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,8550,0,0,8550
Resort Hotel,0.00,53,31-90,2016,6,6,24,7,2,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,11610,0,1,23220
City Hotel,1.00,304,180+,2016,11,11,45,3,3,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,Non Refund,0,8010,0,0,24030
City Hotel,1.00,113,91-180,2016,9,9,37,7,5,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,10692,0,0,53460
City Hotel,0.00,272,180+,2017,7,7,28,12,3,4,Family,Unknown,Online TA,TA/TO,0,0,0,3,No Deposit,0,16119,0,2,48357
City Hotel,1.00,11,0-30,2016,11,11,45,5,1,3,Family,United Kingdom,Online TA,TA/TO,0,0,0,0,No Deposit,0,13500,0,1,13500
City Hotel,1.00,292,180+,2015,8,8,32,5,2,2,Family,Portugal,Groups,TA/TO,0,1,0,0,Non Refund,0,5580,0,0,11160
City Hotel,0.00,16,0-30,2016,12,12,50,4,2,3,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,10692,0,1,21384
Resort Hotel,0.00,128,91-180,2016,12,12,50,8,3,2,Family,United Kingdom,Online TA,TA/TO,0,0,0,0,No Deposit,0,3243.6,0,2,9730.8
Resort Hotel,0.00,18,0-30,2016,4,4,15,9,5,1,Family,United Kingdom,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,2997,0,0,14985
Resort Hotel,1.00,46,31-90,2017,8,8,32,12,7,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,19080,0,0,133560
City Hotel,0.00,4,0-30,2015,8,8,33,11,5,2,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,8100,0,2,40500
City Hotel,0.00,53,31-90,2015,10,10,41,9,3,2,Family,United Kingdom,Online TA,TA/TO,0,0,0,0,No Deposit,0,8505,0,0,25515
City Hotel,0.00,1,0-30,2015,8,8,33,9,1,4,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,13770,0,2,13770
Resort Hotel,0.00,4,0-30,2017,6,6,23,6,3,1,Family,Portugal,Offline TA/TO,TA/TO,1,0,3,0,No Deposit,0,9720,0,2,29160
Resort Hotel,0.00,2,0-30,2015,10,10,41,9,1,1,Family,Portugal,Groups,Corporate,0,0,1,0,No Deposit,0,4320,0,0,4320
Resort Hotel,0.00,8,0-30,2015,7,7,28,7,4,5,Family,Spain,Online TA,TA/TO,0,0,0,2,No Deposit,0,17370,0,1,69480
